kungliga tekniska hogskolan,kth royal institute technology
uppsala universitet,uppsala university
linkopings universitet,linkoping university
lunds universitet,lund university
umea universitet,umea university
goteborgs universitet,the university gothenburg
stockholms universitet,stockholm university
chalmers tekniska hogskola,chalmers university technology
karolinska institutet,karolinska institute
sveriges lantbruks universitet,the swedish university agricultural sciences
lulea tekniska universitet,lulea university technology
handelshogskolan i stockholm,stockholm school economics
blekinge tekniska hogskola,blekinge institute technology
malmo hogskola,malmo university
hogskolan i gavle,gavle university college
malardalens hogskola,malardalen university
mittuniversitet,mid sweden university
hogskolan i skovde,university skovde
karlstads universitet,karlstad university
linneuniversitetet,linnaeus university
orebro universitet,orebro university
sodertorns hogskola,sodertorn university college
hogskolan i boras,boras university college
hogskolan dalarna,dalarna university college
hogskolan i halmstad,halmstad university college
hogskolan vast,university west
hogskolan i kristianstad,kristianstad university
stockholms dramatiska hogskola,stockholm academy dramatic arts
kungliga konsthogskolan,royal institute art
gymnastik och idrottshogskolan,the swedish school sport and health sciences
operahogskolan i stockholm,the university college opera stockholm
